t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
533.6,50.42,250.00,35,65,2917,13801,0x0000000000000000,5,1144
535.6,50.45,250.00,35,67,2917,13801,0x0000000000000000,5,1144
537.6,50.08,250.00,35,64,2917,13801,0x0000000000000000,5,1144
539.6,50.02,250.00,35,65,2917,13801,0x0000000000000000,5,1144
541.6,50.21,250.00,35,65,2917,13801,0x0000000000000000,5,1144
543.6,50.10,250.00,35,64,2917,13801,0x0000000000000000,5,1144
545.6,50.23,250.00,35,64,2917,13801,0x0000000000000000,5,1144
547.6,50.22,250.00,35,65,2917,13801,0x0000000000000000,5,1144
549.6,50.40,250.00,35,66,2917,13801,0x0000000000000000,5,1144
551.6,49.90,250.00,35,64,2917,13801,0x0000000000000000,5,1144
553.6,49.96,250.00,35,65,2917,13801,0x0000000000000000,5,1144
555.6,50.27,250.00,35,65,2917,13801,0x0000000000000000,5,1144
557.6,50.07,250.00,35,66,2917,13801,0x0000000000000000,5,1144
559.6,49.99,250.00,35,64,2917,13801,0x0000000000000000,5,1144
561.6,49.75,250.00,35,66,2917,13801,0x0000000000000000,5,1144
563.6,49.75,250.00,35,66,2917,13801,0x0000000000000000,5,1144
565.7,49.81,250.00,35,66,2917,13801,0x0000000000000000,5,1144
567.7,49.80,250.00,35,66,2917,13801,0x0000000000000000,5,1144
569.7,49.82,250.00,35,66,2917,13801,0x0000000000000000,5,1144
571.7,49.78,250.00,35,64,2917,13801,0x0000000000000000,5,1144
573.7,49.89,250.00,35,64,2917,13801,0x0000000000000000,5,1144
575.7,49.77,250.00,35,65,2917,13801,0x0000000000000000,5,1144
577.7,49.82,250.00,35,65,2917,13801,0x0000000000000000,5,1144
579.7,50.04,250.00,35,64,2917,13801,0x0000000000000000,5,1144
581.7,50.19,250.00,35,65,2917,13801,0x0000000000000000,5,1144
583.7,50.01,250.00,35,65,2917,13801,0x0000000000000000,5,1144
585.7,50.05,250.00,35,63,2917,13801,0x0000000000000000,5,1144
587.7,49.94,250.00,35,66,2917,13801,0x0000000000000000,5,1144
589.7,50.26,250.00,35,64,2917,13801,0x0000000000000000,5,1144
591.7,50.20,250.00,35,66,2917,13801,0x0000000000000000,5,1144
593.7,50.26,250.00,35,66,2917,13801,0x0000000000000000,5,1144
595.7,50.21,250.00,35,65,2917,13801,0x0000000000000000,5,1144
597.7,50.20,250.00,35,65,2917,13801,0x0000000000000000,5,1144
599.7,50.23,250.00,35,66,2917,13801,0x0000000000000000,5,1144
601.8,49.99,250.00,35,66,2917,13801,0x0000000000000000,5,1144
603.8,50.12,250.00,35,66,2917,13801,0x0000000000000000,5,1144
605.8,50.02,250.00,35,64,2917,13801,0x0000000000000000,5,1144
607.8,50.19,250.00,35,65,2917,13801,0x0000000000000000,5,1144
609.8,50.08,250.00,35,66,2917,13801,0x0000000000000000,5,1144
611.8,50.06,250.00,35,65,2917,13801,0x0000000000000000,5,1144
